MsSubClass,Zone,Neighborhood,Area,Room,Built-Age,Sale-Rent,Document,Floor,Elevator,Warehouse,Parking,Reconstruction,Balcony,TotalPrice
1,3,13,155,3,8,1,,1,1,1,1,1,1,2000000000
1,3,13,83,2,6,1,,4,0,0,1,1,0,1200000000
1,3,13,56,1,0,1,,5,0,1,1,0,0,1000000000
1,4,16,60,1,20,0,,1,0,1,0,0,0,4250000000
1,4,18,133,3,8,0,0,3,0,1,2,1,1,18500000000
1,4,17,150,3,3,0,,10,0,1,1,0,1,21500000000
1,4,17,46,1,15,0,0,2,0,1,0,0,1,5200000000
1,4,16,80,2,0,1,,2,0,1,1,0,0,1100000000
1,4,17,149,3,15,1,,3,0,1,1,1,1,1750000000
1,4,17,90,2,5,1,,1,0,1,1,0,1,1600000000
1,4,16,70,2,0,1,,3,0,1,1,0,1,850000000
1,4,16,130,3,2,1,,4,0,1,1,0,1,1700000000
1,5,19,104,2,8,0,0,5,1,1,1,1,1,11400000000
1,5,20,70,2,2,0,,3,0,1,1,0,0,7400000000
1,5,19,45,0,20,0,0,1,0,1,0,1,0,4550000000
1,5,21,55,1,18,0,0,3,0,1,1,1,1,4400000000
1,5,22,60,1,14,1,,2,0,1,1,0,0,670000000
1,5,19,85,2,21,1,,3,0,1,1,1,1,600000000
1,5,22,90,2,7,1,,3,0,1,1,0,1,1000000000
1,5,22,125,2,0,1,,9,1,1,1,0,1,1550000000
1,5,92,105,2,1,0,3,1,1,1,1,0,0,11560000000
1,5,8,90,2,9,0,3,3,1,1,1,0,1,8999000000
1,5,8,40,1,19,0,,0,0,1,0,0,0,4650000000
1,5,94,135,3,1,0,3,3,1,1,1,0,1,22000000000
1,5,95,75,2,14,0,,3,1,1,1,0,0,8150000000
1,5,8,75,2,15,0,,4,1,1,1,0,0,6800000000
1,5,8,112,2,15,0,,4,1,1,1,1,1,14000000000
1,5,95,75,2,14,0,,2,1,1,1,1,0,8200000000
1,5,8,75,2,14,0,,2,1,1,1,1,0,8200000000
1,5,8,75,2,14,0,,3,1,1,1,0,0,8200000000
1,5,95,75,2,13,0,,3,1,1,1,0,0,8250000000
1,5,8,80,2,7,0,,5,1,1,1,0,1,8500000000
1,5,92,80,2,7,0,,5,1,1,1,0,1,8500000000
1,5,8,75,2,14,0,,2,1,1,1,0,0,7450000000
1,5,94,75,2,13,0,,2,1,1,1,0,0,8250000000
1,5,8,101,2,7,0,,5,1,1,1,0,1,12600000000
1,5,8,75,2,14,0,,3,1,1,1,0,0,8150000000
1,5,8,75,2,13,0,,3,1,1,1,0,1,8250000000
1,5,8,100,2,8,0,,5,1,1,1,0,1,12150000000
1,5,8,101,2,15,0,,2,1,1,1,0,1,10000000000
1,5,8,145,3,1,1,3,4,1,1,1,0,1,2350000000
1,5,20,55,1,19,1,3,0,0,1,1,0,0,450000000
1,5,8,64,1,12,1,3,0,0,1,1,1,0,600000000
1,5,99,88,2,15,0,,3,0,1,1,0,1,6700000000
1,5,8,56,1,17,0,3,2,1,1,1,0,1,5600000000
1,5,8,61,1,20,0,3,5,1,1,1,0,1,6600000000
1,5,19,70,2,12,0,3,1,1,0,1,0,1,7000000000
1,5,19,70,2,12,0,3,1,1,1,1,0,0,7600000000
1,5,20,60,1,1,0,3,2,1,1,1,0,1,7500000000
1,5,99,70,1,17,0,3,2,1,1,1,0,1,7100000000
1,5,19,75,2,19,0,,2,1,1,1,0,1,7500000000
1,5,99,85,2,22,0,3,3,0,1,1,0,0,6500000000
1,5,100,64,1,19,0,,0,1,1,1,0,1,5500000000
1,5,99,68,2,15,0,3,1,1,1,1,0,1,6800000000
1,5,8,64,2,11,0,3,4,1,0,1,0,1,6000000000
1,5,101,77,2,14,0,,2,1,1,1,0,1,6500000000
1,5,22,62,1,13,1,3,4,1,1,1,0,0,350000000
