MsSubClass,Zone,Neighborhood,Area,Room,Built-Age,Sale-Rent,Document,Floor,Elevator,Warehouse,Parking,Reconstruction,Balcony,TotalPrice
1,9,36,133,3,0,1,-1.0,3.0,0,1.0,1,0.0,1,1200000000.0
1,13,49,60,1,10,1,-1.0,1.0,0,1.0,0,0.0,1,550000000.0
1,5,94,75,2,13,0,-1.0,2.0,1,1.0,1,0.0,0,8250000000.0
1,1,81,100,2,1,1,-1.0,4.0,1,1.0,1,0.0,0,500000000.0
1,1,5,100,2,12,1,-1.0,4.0,1,1.0,1,1.0,1,1700000000.0
1,19,70,95,2,7,1,-1.0,1.0,0,1.0,0,0.0,0,300000000.0
1,9,35,110,2,4,0,0.0,5.0,0,1.0,1,1.0,1,9700000000.0
1,10,38,62,2,2,0,0.0,4.0,0,1.0,1,0.0,1,3500000000.0
1,5,19,85,2,21,1,-1.0,3.0,0,1.0,1,1.0,1,600000000.0
1,8,32,65,1,7,1,-1.0,-1.0,1,1.0,1,0.0,0,450000000.0
1,16,60,65,1,10,1,-1.0,0.0,0,1.0,1,1.0,1,500000000.0
1,11,43,65,2,30,0,-1.0,4.0,0,1.0,1,0.0,1,2380000000.0
1,5,8,40,1,19,0,-1.0,0.0,0,1.0,0,0.0,0,4650000000.0
1,19,70,108,1,15,1,-1.0,0.0,0,1.0,0,1.0,0,500000000.0
1,20,75,90,2,1,1,-1.0,2.0,0,1.0,1,0.0,1,800000000.0
1,18,63,112,2,6,1,-1.0,1.0,0,1.0,1,0.0,1,650000000.0
1,18,67,112,2,2,0,0.0,1.0,1,0.0,1,0.0,0,3024000000.0
1,6,26,85,2,10,1,-1.0,4.0,0,1.0,1,0.0,1,1350000000.0
1,10,41,46,1,14,0,3.0,2.0,0,1.0,1,0.0,1,2300000000.0
1,5,20,55,1,19,1,3.0,0.0,0,1.0,1,0.0,0,450000000.0
1,5,92,85,2,12,0,-1.0,1.0,1,1.0,1,0.0,1,8100000000.0
1,9,35,68,2,1,0,3.0,1.0,1,1.0,1,0.0,1,4900000000.0
1,9,35,56,1,7,0,3.0,2.0,1,1.0,1,0.0,1,3600000000.0
1,20,72,88,2,7,0,0.0,4.0,1,1.0,1,0.0,1,4250000000.0
1,1,3,570,4,2,0,0.0,9.0,1,1.0,5,0.0,1,350000000000.0
1,10,38,72,2,8,0,0.0,3.0,0,1.0,1,1.0,1,3750000000.0
1,5,92,105,2,1,0,3.0,1.0,1,1.0,1,0.0,0,11560000000.0
1,13,50,80,2,20,0,0.0,4.0,0,1.0,0,1.0,0,4950000000.0
1,13,49,75,2,1,0,-1.0,3.0,0,1.0,1,0.0,0,7700000000.0
1,1,85,305,4,14,0,-1.0,4.0,1,1.0,1,0.0,1,57000000000.0
1,5,8,75,2,15,0,-1.0,4.0,1,1.0,1,0.0,0,6800000000.0
1,15,56,67,1,4,0,0.0,1.0,1,0.0,1,0.0,0,2950000000.0
1,10,40,75,2,1,0,3.0,3.0,1,1.0,1,0.0,1,5100000000.0
1,15,57,127,3,2,0,-1.0,2.0,1,0.0,1,0.0,0,7250000000.0
1,17,65,46,1,7,0,-1.0,1.0,1,1.0,1,0.0,0,2600000000.0
1,5,92,80,2,7,0,-1.0,5.0,1,1.0,1,0.0,1,8500000000.0
1,2,89,136,2,0,2,-1.0,3.0,1,1.0,1,0.0,1,25840000000.0
1,16,76,40,1,13,0,-1.0,0.0,0,1.0,1,0.0,0,2400000000.0
1,1,86,200,3,17,0,-1.0,2.0,1,1.0,1,1.0,1,31000000000.0
1,2,10,14,3,14,0,3.0,2.0,1,1.0,1,0.0,0,14300000000.0
1,16,60,59,1,5,0,0.0,5.0,1,0.0,0,0.0,1,3900000000.0
1,5,19,104,2,8,0,0.0,5.0,1,1.0,1,1.0,1,11400000000.0
1,12,46,75,2,18,0,0.0,2.0,0,0.0,0,1.0,0,5000000000.0
1,19,71,60,1,10,1,-1.0,1.0,0,0.0,0,0.0,0,320000000.0
1,5,8,100,2,8,0,-1.0,5.0,1,1.0,1,0.0,1,12150000000.0
1,9,34,89,2,4,0,-1.0,2.0,0,1.0,1,0.0,1,8100000000.0
1,18,68,61,2,19,0,0.0,3.0,0,1.0,0,1.0,0,2530000000.0
1,1,86,130,2,5,1,3.0,2.0,1,1.0,1,0.0,1,1000000000.0
1,19,71,73,2,1,0,0.0,1.0,0,0.0,1,0.0,1,3066000000.0
1,2,8,55,1,17,1,-1.0,0.0,0,1.0,1,0.0,0,455000000.0
1,15,52,80,2,0,0,-1.0,5.0,1,0.0,1,0.0,1,5995000000.0
1,2,90,170,3,5,1,-1.0,4.0,1,1.0,1,1.0,1,47000000.0
1,9,35,102,2,1,0,0.0,1.0,0,1.0,1,0.0,1,8300000000.0
1,2,88,1,3,1,0,-1.0,4.0,1,1.0,1,0.0,1,21500000000.0
1,6,23,113,2,0,0,0.0,1.0,0,1.0,1,0.0,1,14690000000.0
1,1,6,80,2,15,1,-1.0,3.0,0,1.0,1,1.0,0,900000000.0
1,1,86,130,2,1,1,3.0,2.0,1,1.0,1,0.0,1,2000000000.0
1,1,4,174,3,1,0,3.0,4.0,1,1.0,1,0.0,1,49500000000.0
1,7,27,92,2,5,1,-1.0,1.0,0,1.0,0,1.0,1,1200000000.0
1,5,19,70,2,12,0,3.0,1.0,1,1.0,1,0.0,0,7600000000.0
1,16,59,80,2,0,0,0.0,4.0,1,0.0,1,0.0,1,47000000000.0
1,13,49,60,2,0,0,-1.0,3.0,0,0.0,1,0.0,1,4500000000.0
1,5,101,77,2,14,0,-1.0,2.0,1,1.0,1,0.0,1,6500000000.0
1,10,37,52,1,7,0,0.0,1.0,1,1.0,0,0.0,1,2720000000.0
1,10,41,55,1,4,0,-1.0,0.0,1,1.0,1,0.0,1,3000000000.0
1,5,8,75,2,14,0,-1.0,3.0,1,1.0,1,0.0,0,8150000000.0
1,12,48,50,1,13,1,-1.0,2.0,0,1.0,0,0.0,1,180000000.0
1,1,86,139,3,3,0,3.0,1.0,1,1.0,1,0.0,1,25000000000.0
1,11,42,110,1,10,1,-1.0,4.0,0,2.0,1,0.0,1,800000000.0
1,14,53,55,1,9,1,-1.0,1.0,0,0.0,0,0.0,1,400000000.0
1,3,13,155,3,8,1,-1.0,1.0,1,1.0,1,1.0,1,2000000000.0
1,15,54,85,2,4,0,0.0,3.0,0,1.0,1,0.0,1,3400000000.0
1,8,31,59,1,20,0,0.0,3.0,0,0.0,0,0.0,0,3350000000.0
1,1,83,125,2,5,1,-1.0,4.0,1,1.0,1,0.0,1,1000000000.0
1,15,57,75,1,14,1,-1.0,3.0,0,0.0,0,0.0,0,410000000.0
1,10,39,53,1,9,1,-1.0,2.0,0,1.0,0,1.0,1,400000000.0
1,12,47,150,3,5,1,-1.0,1.0,0,1.0,1,0.0,0,1250000000.0
1,16,58,55,1,20,0,0.0,3.0,0,1.0,0,0.0,0,1975000000.0
1,1,4,65,2,14,0,0.0,6.0,1,1.0,1,0.0,0,13500000000.0
1,12,47,110,2,31,0,0.0,1.0,1,1.0,1,0.0,1,6000000000.0
1,18,68,64,2,20,1,-1.0,1.0,0,0.0,0,0.0,0,300000000.0
1,4,17,150,3,3,0,-1.0,10.0,0,1.0,1,0.0,1,21500000000.0
1,10,37,40,1,18,0,3.0,2.0,0,1.0,1,0.0,0,2700000000.0
1,17,65,93,2,0,1,-1.0,1.0,0,1.0,1,0.0,1,650000000.0
1,10,41,49,1,7,0,3.0,3.0,1,1.0,1,0.0,1,3100000000.0
1,7,29,40,1,1,1,-1.0,1.0,0,0.0,0,1.0,1,600000000.0
1,4,16,60,1,20,0,-1.0,1.0,0,1.0,0,0.0,0,4250000000.0
1,10,40,65,1,12,0,3.0,2.0,1,1.0,1,0.0,0,3100000000.0
1,2,9,73,2,20,0,-1.0,4.0,0,1.0,1,1.0,1,6350000000.0
1,1,86,150,3,5,0,3.0,5.0,1,1.0,1,0.0,0,22000000000.0
1,1,1,160,3,2,0,-1.0,3.0,1,1.0,1,0.0,1,31000000000.0
1,13,50,160,3,0,1,-1.0,3.0,0,0.0,1,0.0,1,1600000000.0
1,9,35,80,1,3,0,3.0,0.0,1,1.0,1,0.0,0,4700000000.0
1,18,63,62,1,14,1,-1.0,3.0,0,1.0,1,0.0,1,290000000.0
1,1,81,250,3,1,0,3.0,6.0,1,1.0,1,0.0,1,75000000000.0
1,19,45,75,1,0,0,2.0,1.0,0,0.0,0,0.0,1,1400000000.0
1,10,41,40,1,23,0,-1.0,0.0,1,1.0,1,0.0,0,2350000000.0
1,13,49,77,2,0,0,-1.0,6.0,0,1.0,0,0.0,1,4700000000.0
